id,name,segment,balance
54,"Customer#000000054",AUTOMOBILE,868.9
55,"Customer#000000055",MACHINERY,4572.11
56,"Customer#000000056",FURNITURE,6530.86
57,"Customer#000000057",AUTOMOBILE,4151.93
58,"Customer#000000058",HOUSEHOLD,6478.46
59,"Customer#000000059",MACHINERY,3458.6
60,"Customer#000000060",MACHINERY,2741.87
61,"Customer#000000061",FURNITURE,1536.24
62,"Customer#000000062",MACHINERY,595.61
63,"Customer#000000063",AUTOMOBILE,9331.13
64,"Customer#000000064",BUILDING,-646.64
65,"Customer#000000065",AUTOMOBILE,8795.16
66,"Customer#000000066",HOUSEHOLD,242.77
67,"Customer#000000067",MACHINERY,8166.59
68,"Customer#000000068",HOUSEHOLD,6853.37
69,"Customer#000000069",HOUSEHOLD,1709.28
70,"Customer#000000070",FURNITURE,4867.52
71,"Customer#000000071",HOUSEHOLD,-611.19
72,"Customer#000000072",FURNITURE,-362.86
73,"Customer#000000073",BUILDING,4288.5
74,"Customer#000000074",MACHINERY,2764.43
75,"Customer#000000075",AUTOMOBILE,6684.1
76,"Customer#000000076",FURNITURE,5745.33
77,"Customer#000000077",BUILDING,1738.87
78,"Customer#000000078",FURNITURE,7136.97
79,"Customer#000000079",MACHINERY,5121.28
80,"Customer#000000080",FURNITURE,7383.53
81,"Customer#000000081",BUILDING,2023.71
82,"Customer#000000082",AUTOMOBILE,9468.34
83,"Customer#000000083",BUILDING,6463.51
84,"Customer#000000084",FURNITURE,5174.71
85,"Customer#000000085",FURNITURE,3386.64
86,"Customer#000000086",HOUSEHOLD,3306.32
87,"Customer#000000087",FURNITURE,6327.54
88,"Customer#000000088",AUTOMOBILE,8031.44
89,"Customer#000000089",FURNITURE,1530.76
90,"Customer#000000090",BUILDING,7354.23
91,"Customer#000000091",AUTOMOBILE,4643.14
92,"Customer#000000092",MACHINERY,1182.91
93,"Customer#000000093",MACHINERY,2182.52
94,"Customer#000000094",HOUSEHOLD,5500.11
95,"Customer#000000095",MACHINERY,5327.38
96,"Customer#000000096",AUTOMOBILE,6323.92
97,"Customer#000000097",AUTOMOBILE,2164.48
98,"Customer#000000098",BUILDING,-551.37
99,"Customer#000000099",HOUSEHOLD,4088.65
100,"Customer#000000100",FURNITURE,9889.89
101,"Customer#000000101",MACHINERY,7470.96
102,"Customer#000000102",BUILDING,8462.17
103,"Customer#000000103",BUILDING,2757.45
104,"Customer#000000104",FURNITURE,-588.38
105,"Customer#000000105",MACHINERY,9091.82
106,"Customer#000000106",MACHINERY,3288.42
107,"Customer#000000107",AUTOMOBILE,2514.15
108,"Customer#000000108",BUILDING,2259.38
109,"Customer#000000109",BUILDING,-716.1
110,"Customer#000000110",AUTOMOBILE,7462.99
111,"Customer#000000111",MACHINERY,6505.26
112,"Customer#000000112",FURNITURE,2953.35
113,"Customer#000000113",BUILDING,2912.0
114,"Customer#000000114",FURNITURE,1027.46
115,"Customer#000000115",HOUSEHOLD,7508.92
116,"Customer#000000116",BUILDING,8403.99
117,"Customer#000000117",FURNITURE,3950.83
118,"Customer#000000118",AUTOMOBILE,3582.37
119,"Customer#000000119",FURNITURE,3930.35
120,"Customer#000000120",MACHINERY,363.75
121,"Customer#000000121",BUILDING,6428.32
122,"Customer#000000122",HOUSEHOLD,7865.46
123,"Customer#000000123",BUILDING,5897.83
124,"Customer#000000124",AUTOMOBILE,1842.49
125,"Customer#000000125",FURNITURE,-234.12
126,"Customer#000000126",HOUSEHOLD,1001.39
127,"Customer#000000127",MACHINERY,9280.71
128,"Customer#000000128",HOUSEHOLD,-986.96
129,"Customer#000000129",HOUSEHOLD,9127.27
130,"Customer#000000130",HOUSEHOLD,5073.58
131,"Customer#000000131",HOUSEHOLD,8595.53
132,"Customer#000000132",HOUSEHOLD,162.57
133,"Customer#000000133",AUTOMOBILE,2314.67
134,"Customer#000000134",BUILDING,4608.9
135,"Customer#000000135",FURNITURE,8732.91
136,"Customer#000000136",FURNITURE,-842.39
137,"Customer#000000137",HOUSEHOLD,7838.3
138,"Customer#000000138",MACHINERY,430.59
139,"Customer#000000139",MACHINERY,7897.78
140,"Customer#000000140",MACHINERY,9963.15
141,"Customer#000000141",FURNITURE,6706.14
142,"Customer#000000142",AUTOMOBILE,2209.81
143,"Customer#000000143",MACHINERY,2186.5
144,"Customer#000000144",MACHINERY,6417.31
145,"Customer#000000145",HOUSEHOLD,9748.93
146,"Customer#000000146",FURNITURE,3328.68
147,"Customer#000000147",AUTOMOBILE,8071.4
148,"Customer#000000148",HOUSEHOLD,2135.6
149,"Customer#000000149",AUTOMOBILE,8959.65
150,"Customer#000000150",MACHINERY,3849.48
151,"Customer#000000151",HOUSEHOLD,5187.02
152,"Customer#000000152",BUILDING,1215.18
153,"Customer#000000153",HOUSEHOLD,5454.26
154,"Customer#000000154",FURNITURE,4695.12
155,"Customer#000000155",AUTOMOBILE,5902.85
156,"Customer#000000156",AUTOMOBILE,9302.95
157,"Customer#000000157",BUILDING,9768.73
158,"Customer#000000158",AUTOMOBILE,6160.95
159,"Customer#000000159",HOUSEHOLD,2060.06
160,"Customer#000000160",MACHINERY,4363.17
161,"Customer#000000161",MACHINERY,3714.06
162,"Customer#000000162",MACHINERY,6268.99
163,"Customer#000000163",FURNITURE,2948.61
164,"Customer#000000164",HOUSEHOLD,208.45
165,"Customer#000000165",HOUSEHOLD,3349.92
166,"Customer#000000166",FURNITURE,2042.21
167,"Customer#000000167",AUTOMOBILE,1468.09
168,"Customer#000000168",FURNITURE,-808.56
169,"Customer#000000169",FURNITURE,4483.83
170,"Customer#000000170",BUILDING,7687.89
171,"Customer#000000171",MACHINERY,2379.91
172,"Customer#000000172",MACHINERY,1134.4
173,"Customer#000000173",BUILDING,845.84
174,"Customer#000000174",FURNITURE,1944.73
175,"Customer#000000175",FURNITURE,1975.35
176,"Customer#000000176",FURNITURE,-375.76
177,"Customer#000000177",BUILDING,7457.5
178,"Customer#000000178",FURNITURE,2272.5
179,"Customer#000000179",MACHINERY,-43.08
180,"Customer#000000180",FURNITURE,-92.58
181,"Customer#000000181",FURNITURE,3929.96
182,"Customer#000000182",AUTOMOBILE,4810.22
183,"Customer#000000183",HOUSEHOLD,4419.89
184,"Customer#000000184",AUTOMOBILE,170.46
185,"Customer#000000185",BUILDING,2788.76
186,"Customer#000000186",HOUSEHOLD,8737.5
187,"Customer#000000187",FURNITURE,-774.22
188,"Customer#000000188",BUILDING,9533.37
189,"Customer#000000189",MACHINERY,-594.05
190,"Customer#000000190",AUTOMOBILE,1657.46
191,"Customer#000000191",BUILDING,2945.16
192,"Customer#000000192",MACHINERY,8239.96
193,"Customer#000000193",MACHINERY,8024.55
194,"Customer#000000194",HOUSEHOLD,6696.49
195,"Customer#000000195",AUTOMOBILE,4873.91
196,"Customer#000000196",FURNITURE,7760.33
197,"Customer#000000197",AUTOMOBILE,9860.22
198,"Customer#000000198",AUTOMOBILE,3824.76
199,"Customer#000000199",FURNITURE,7654.31
200,"Customer#000000200",BUILDING,9967.6
201,"Customer#000000201",MACHINERY,4614.4
202,"Customer#000000202",AUTOMOBILE,2237.64
203,"Customer#000000203",MACHINERY,7960.63
204,"Customer#000000204",BUILDING,-627.76
205,"Customer#000000205",BUILDING,7161.52
206,"Customer#000000206",AUTOMOBILE,-274.79
207,"Customer#000000207",AUTOMOBILE,-439.98
208,"Customer#000000208",MACHINERY,6239.89
209,"Customer#000000209",FURNITURE,8873.46
210,"Customer#000000210",HOUSEHOLD,7250.14
211,"Customer#000000211",BUILDING,4198.72
212,"Customer#000000212",BUILDING,957.58
213,"Customer#000000213",HOUSEHOLD,9987.71
214,"Customer#000000214",MACHINERY,1526.59
215,"Customer#000000215",FURNITURE,3379.2
216,"Customer#000000216",FURNITURE,-776.08
217,"Customer#000000217",AUTOMOBILE,378.33
218,"Customer#000000218",MACHINERY,9541.19
219,"Customer#000000219",AUTOMOBILE,9858.57
220,"Customer#000000220",BUILDING,9131.64
221,"Customer#000000221",BUILDING,1609.39
222,"Customer#000000222",BUILDING,8893.76
223,"Customer#000000223",BUILDING,7476.2
224,"Customer#000000224",BUILDING,8465.15
225,"Customer#000000225",AUTOMOBILE,8893.2
226,"Customer#000000226",AUTOMOBILE,9008.61
227,"Customer#000000227",MACHINERY,1808.23
228,"Customer#000000228",FURNITURE,6868.12
229,"Customer#000000229",BUILDING,7568.07
230,"Customer#000000230",MACHINERY,1682.83
231,"Customer#000000231",BUILDING,283.55
232,"Customer#000000232",HOUSEHOLD,554.71
233,"Customer#000000233",FURNITURE,3998.24
234,"Customer#000000234",AUTOMOBILE,8383.51
235,"Customer#000000235",AUTOMOBILE,754.41
236,"Customer#000000236",AUTOMOBILE,5384.59
237,"Customer#000000237",HOUSEHOLD,-160.02
238,"Customer#000000238",HOUSEHOLD,3482.32
239,"Customer#000000239",FURNITURE,5398.77
240,"Customer#000000240",MACHINERY,7139.68
241,"Customer#000000241",AUTOMOBILE,6569.34
242,"Customer#000000242",MACHINERY,1975.41
243,"Customer#000000243",AUTOMOBILE,620.73
244,"Customer#000000244",HOUSEHOLD,2506.38
245,"Customer#000000245",MACHINERY,3720.15
246,"Customer#000000246",AUTOMOBILE,9584.96
247,"Customer#000000247",HOUSEHOLD,8495.92
248,"Customer#000000248",FURNITURE,8908.35
249,"Customer#000000249",MACHINERY,-234.01
250,"Customer#000000250",FURNITURE,2869.97
251,"Customer#000000251",HOUSEHOLD,9585.32
252,"Customer#000000252",FURNITURE,3561.74
253,"Customer#000000253",AUTOMOBILE,9139.52
254,"Customer#000000254",MACHINERY,1915.35
255,"Customer#000000255",BUILDING,3196.07
256,"Customer#000000256",HOUSEHOLD,1299.92
257,"Customer#000000257",AUTOMOBILE,-339.85
258,"Customer#000000258",MACHINERY,6022.27
259,"Customer#000000259",HOUSEHOLD,3335.29
260,"Customer#000000260",MACHINERY,9196.11
261,"Customer#000000261",AUTOMOBILE,7094.22
262,"Customer#000000262",AUTOMOBILE,1561.8
263,"Customer#000000263",FURNITURE,1162.03
264,"Customer#000000264",MACHINERY,3195.83
265,"Customer#000000265",MACHINERY,8275.8
266,"Customer#000000266",HOUSEHOLD,5481.0
267,"Customer#000000267",AUTOMOBILE,3166.94
268,"Customer#000000268",MACHINERY,6821.01
269,"Customer#000000269",MACHINERY,7667.35
270,"Customer#000000270",AUTOMOBILE,9192.5
271,"Customer#000000271",MACHINERY,1490.35
272,"Customer#000000272",MACHINERY,-746.03
273,"Customer#000000273",FURNITURE,-675.05
274,"Customer#000000274",FURNITURE,4425.42
275,"Customer#000000275",AUTOMOBILE,5067.31
276,"Customer#000000276",AUTOMOBILE,2292.67
277,"Customer#000000277",BUILDING,8876.1
278,"Customer#000000278",BUILDING,7621.56
279,"Customer#000000279",AUTOMOBILE,9663.23
280,"Customer#000000280",BUILDING,3952.84
281,"Customer#000000281",BUILDING,4361.7
282,"Customer#000000282",HOUSEHOLD,1125.45
283,"Customer#000000283",AUTOMOBILE,4450.03
284,"Customer#000000284",AUTOMOBILE,593.52
285,"Customer#000000285",FURNITURE,7276.72
286,"Customer#000000286",HOUSEHOLD,-109.73
287,"Customer#000000287",MACHINERY,1734.18
288,"Customer#000000288",HOUSEHOLD,5339.43
289,"Customer#000000289",AUTOMOBILE,-215.75
290,"Customer#000000290",MACHINERY,1811.35
291,"Customer#000000291",HOUSEHOLD,4261.68
292,"Customer#000000292",HOUSEHOLD,2975.43
293,"Customer#000000293",MACHINERY,-43.79
294,"Customer#000000294",BUILDING,-994.79
295,"Customer#000000295",HOUSEHOLD,9497.89
296,"Customer#000000296",BUILDING,8081.52
297,"Customer#000000297",HOUSEHOLD,7096.32
298,"Customer#000000298",BUILDING,3812.84
299,"Customer#000000299",HOUSEHOLD,5380.5
300,"Customer#000000300",AUTOMOBILE,8084.92
301,"Customer#000000301",HOUSEHOLD,9305.05
302,"Customer#000000302",MACHINERY,1107.42
303,"Customer#000000303",AUTOMOBILE,9339.57
304,"Customer#000000304",MACHINERY,9217.55
305,"Customer#000000305",FURNITURE,4356.59
306,"Customer#000000306",AUTOMOBILE,3268.01
307,"Customer#000000307",FURNITURE,346.59
308,"Customer#000000308",HOUSEHOLD,4150.76
309,"Customer#000000309",FURNITURE,8824.78
310,"Customer#000000310",FURNITURE,3186.57
311,"Customer#000000311",AUTOMOBILE,6589.5
312,"Customer#000000312",AUTOMOBILE,-178.84
313,"Customer#000000313",HOUSEHOLD,6115.81
314,"Customer#000000314",MACHINERY,2394.92
315,"Customer#000000315",FURNITURE,348.58
316,"Customer#000000316",MACHINERY,4571.78
317,"Customer#000000317",HOUSEHOLD,956.88
318,"Customer#000000318",HOUSEHOLD,9149.98
319,"Customer#000000319",FURNITURE,1834.36
320,"Customer#000000320",MACHINERY,6082.74
321,"Customer#000000321",FURNITURE,7718.77
322,"Customer#000000322",HOUSEHOLD,4489.98
323,"Customer#000000323",AUTOMOBILE,1137.67
324,"Customer#000000324",FURNITURE,806.59
325,"Customer#000000325",HOUSEHOLD,2377.34
326,"Customer#000000326",HOUSEHOLD,1906.52
327,"Customer#000000327",MACHINERY,8762.16
328,"Customer#000000328",BUILDING,6709.9
329,"Customer#000000329",BUILDING,-651.91
330,"Customer#000000330",MACHINERY,8244.73
331,"Customer#000000331",AUTOMOBILE,170.27
332,"Customer#000000332",HOUSEHOLD,-267.09
333,"Customer#000000333",AUTOMOBILE,8018.89
334,"Customer#000000334",BUILDING,-405.91
335,"Customer#000000335",HOUSEHOLD,6837.46
336,"Customer#000000336",AUTOMOBILE,9241.49
337,"Customer#000000337",MACHINERY,-270.59
338,"Customer#000000338",FURNITURE,4092.49
339,"Customer#000000339",HOUSEHOLD,8438.07
340,"Customer#000000340",BUILDING,4667.12
341,"Customer#000000341",FURNITURE,8247.11
342,"Customer#000000342",AUTOMOBILE,7186.74
343,"Customer#000000343",HOUSEHOLD,5521.36
344,"Customer#000000344",FURNITURE,-544.95
345,"Customer#000000345",AUTOMOBILE,1936.77
346,"Customer#000000346",FURNITURE,238.14
347,"Customer#000000347",BUILDING,7348.92
348,"Customer#000000348",HOUSEHOLD,3310.49
349,"Customer#000000349",BUILDING,-565.35
350,"Customer#000000350",BUILDING,19.31
351,"Customer#000000351",AUTOMOBILE,3419.54
352,"Customer#000000352",HOUSEHOLD,6257.88
353,"Customer#000000353",BUILDING,3199.03
354,"Customer#000000354",BUILDING,7095.95
355,"Customer#000000355",FURNITURE,8727.9
356,"Customer#000000356",FURNITURE,2934.06
357,"Customer#000000357",AUTOMOBILE,8747.36
358,"Customer#000000358",MACHINERY,-44.66
359,"Customer#000000359",FURNITURE,6375.23
360,"Customer#000000360",FURNITURE,6542.83
361,"Customer#000000361",BUILDING,7451.84
362,"Customer#000000362",AUTOMOBILE,6149.01
363,"Customer#000000363",HOUSEHOLD,-573.86
364,"Customer#000000364",HOUSEHOLD,32.24
365,"Customer#000000365",HOUSEHOLD,737.03
366,"Customer#000000366",MACHINERY,-729.74
367,"Customer#000000367",HOUSEHOLD,9108.65
368,"Customer#000000368",MACHINERY,84.72
369,"Customer#000000369",FURNITURE,2881.06
370,"Customer#000000370",FURNITURE,8982.79
371,"Customer#000000371",AUTOMOBILE,7789.14
372,"Customer#000000372",MACHINERY,-921.91
373,"Customer#000000373",MACHINERY,2354.06
374,"Customer#000000374",AUTOMOBILE,6718.78
375,"Customer#000000375",HOUSEHOLD,5562.22
376,"Customer#000000376",AUTOMOBILE,4231.45
377,"Customer#000000377",MACHINERY,1043.72
378,"Customer#000000378",BUILDING,5718.05
379,"Customer#000000379",AUTOMOBILE,5348.11
380,"Customer#000000380",BUILDING,2755.46
381,"Customer#000000381",BUILDING,9931.71
382,"Customer#000000382",AUTOMOBILE,6269.42
383,"Customer#000000383",MACHINERY,-849.44
384,"Customer#000000384",HOUSEHOLD,-614.3
385,"Customer#000000385",AUTOMOBILE,2457.09
386,"Customer#000000386",BUILDING,232.01
387,"Customer#000000387",HOUSEHOLD,3404.23
388,"Customer#000000388",HOUSEHOLD,1938.05
389,"Customer#000000389",AUTOMOBILE,-307.61
390,"Customer#000000390",HOUSEHOLD,8862.18
391,"Customer#000000391",HOUSEHOLD,4801.3
392,"Customer#000000392",BUILDING,8492.33
393,"Customer#000000393",FURNITURE,3593.57
394,"Customer#000000394",MACHINERY,5200.96
395,"Customer#000000395",HOUSEHOLD,4582.28
396,"Customer#000000396",BUILDING,1433.5
397,"Customer#000000397",FURNITURE,709.46
398,"Customer#000000398",HOUSEHOLD,8865.61
399,"Customer#000000399",BUILDING,7358.53
400,"Customer#000000400",BUILDING,-98.46
401,"Customer#000000401",BUILDING,4146.43
402,"Customer#000000402",AUTOMOBILE,2106.67
403,"Customer#000000403",HOUSEHOLD,6693.36
404,"Customer#000000404",BUILDING,7408.73
405,"Customer#000000405",MACHINERY,7519.14
406,"Customer#000000406",FURNITURE,4286.94
407,"Customer#000000407",MACHINERY,9537.08
408,"Customer#000000408",BUILDING,6825.37
409,"Customer#000000409",FURNITURE,3969.86
410,"Customer#000000410",BUILDING,4349.27
411,"Customer#000000411",HOUSEHOLD,1209.32
412,"Customer#000000412",BUILDING,6044.02
413,"Customer#000000413",FURNITURE,5817.9
414,"Customer#000000414",AUTOMOBILE,527.78
415,"Customer#000000415",FURNITURE,2317.93
416,"Customer#000000416",MACHINERY,4365.28
417,"Customer#000000417",BUILDING,6187.73
418,"Customer#000000418",FURNITURE,1211.39
419,"Customer#000000419",BUILDING,7786.69
420,"Customer#000000420",BUILDING,1999.35
421,"Customer#000000421",FURNITURE,7073.17
422,"Customer#000000422",HOUSEHOLD,-272.14
423,"Customer#000000423",BUILDING,95.79
424,"Customer#000000424",HOUSEHOLD,1866.42
425,"Customer#000000425",HOUSEHOLD,5824.88
426,"Customer#000000426",HOUSEHOLD,7818.25
427,"Customer#000000427",MACHINERY,4376.8
428,"Customer#000000428",BUILDING,1952.36
429,"Customer#000000429",FURNITURE,9247.21
430,"Customer#000000430",BUILDING,7905.17
431,"Customer#000000431",HOUSEHOLD,2273.5
432,"Customer#000000432",BUILDING,5715.64
433,"Customer#000000433",FURNITURE,8746.23
434,"Customer#000000434",MACHINERY,2940.46
435,"Customer#000000435",MACHINERY,6217.46
436,"Customer#000000436",FURNITURE,5896.87
437,"Customer#000000437",AUTOMOBILE,7760.52
438,"Customer#000000438",MACHINERY,2131.13
439,"Customer#000000439",BUILDING,-61.29
440,"Customer#000000440",MACHINERY,1809.04
441,"Customer#000000441",HOUSEHOLD,9451.84
442,"Customer#000000442",FURNITURE,4157.0
443,"Customer#000000443",FURNITURE,3726.22
444,"Customer#000000444",HOUSEHOLD,1505.27
445,"Customer#000000445",FURNITURE,8018.81
446,"Customer#000000446",FURNITURE,9225.6
447,"Customer#000000447",HOUSEHOLD,7665.98
448,"Customer#000000448",BUILDING,8117.27
449,"Customer#000000449",MACHINERY,3001.94
450,"Customer#000000450",HOUSEHOLD,5544.42
451,"Customer#000000451",HOUSEHOLD,2110.59
452,"Customer#000000452",BUILDING,6633.7
453,"Customer#000000453",HOUSEHOLD,5678.18
454,"Customer#000000454",AUTOMOBILE,6134.4
455,"Customer#000000455",BUILDING,6860.34
456,"Customer#000000456",FURNITURE,8815.78
457,"Customer#000000457",FURNITURE,5867.61
458,"Customer#000000458",BUILDING,-38.42
459,"Customer#000000459",MACHINERY,1207.97
460,"Customer#000000460",FURNITURE,5222.83
461,"Customer#000000461",AUTOMOBILE,9177.63
462,"Customer#000000462",HOUSEHOLD,4522.6
463,"Customer#000000463",HOUSEHOLD,-654.5
464,"Customer#000000464",AUTOMOBILE,8730.85
465,"Customer#000000465",FURNITURE,8432.74
466,"Customer#000000466",MACHINERY,3168.41
467,"Customer#000000467",MACHINERY,9398.51
468,"Customer#000000468",FURNITURE,9834.19
469,"Customer#000000469",BUILDING,6343.64
470,"Customer#000000470",HOUSEHOLD,3597.53
471,"Customer#000000471",FURNITURE,5716.9
472,"Customer#000000472",MACHINERY,7929.9
473,"Customer#000000473",HOUSEHOLD,-202.22
474,"Customer#000000474",MACHINERY,9165.47
475,"Customer#000000475",BUILDING,9043.55
476,"Customer#000000476",BUILDING,5973.1
477,"Customer#000000477",AUTOMOBILE,1836.61
478,"Customer#000000478",BUILDING,-210.4
479,"Customer#000000479",AUTOMOBILE,3653.64
480,"Customer#000000480",FURNITURE,2750.71
481,"Customer#000000481",FURNITURE,7157.21
482,"Customer#000000482",HOUSEHOLD,4333.37
483,"Customer#000000483",MACHINERY,8877.2
484,"Customer#000000484",BUILDING,4245.0
485,"Customer#000000485",MACHINERY,8695.45
486,"Customer#000000486",AUTOMOBILE,7487.4
487,"Customer#000000487",AUTOMOBILE,9749.37
488,"Customer#000000488",AUTOMOBILE,-275.58
489,"Customer#000000489",AUTOMOBILE,8255.83
490,"Customer#000000490",FURNITURE,-213.85
491,"Customer#000000491",AUTOMOBILE,785.37
492,"Customer#000000492",AUTOMOBILE,8635.18
493,"Customer#000000493",MACHINERY,6582.04
494,"Customer#000000494",FURNITURE,6295.47
495,"Customer#000000495",BUILDING,7997.81
496,"Customer#000000496",MACHINERY,8174.82
497,"Customer#000000497",BUILDING,2191.59
498,"Customer#000000498",BUILDING,3945.64
499,"Customer#000000499",HOUSEHOLD,4293.76
500,"Customer#000000500",AUTOMOBILE,3300.82
501,"Customer#000000501",FURNITURE,1909.35
502,"Customer#000000502",HOUSEHOLD,1378.67
503,"Customer#000000503",MACHINERY,3213.66
504,"Customer#000000504",FURNITURE,0.51
505,"Customer#000000505",HOUSEHOLD,6557.51
506,"Customer#000000506",HOUSEHOLD,1179.85
507,"Customer#000000507",MACHINERY,5727.0
508,"Customer#000000508",BUILDING,1685.9
509,"Customer#000000509",FURNITURE,7885.5
510,"Customer#000000510",HOUSEHOLD,1572.48
511,"Customer#000000511",FURNITURE,4571.31
512,"Customer#000000512",BUILDING,3937.58
513,"Customer#000000513",HOUSEHOLD,955.37
514,"Customer#000000514",BUILDING,5840.97
515,"Customer#000000515",BUILDING,3225.07
516,"Customer#000000516",MACHINERY,4768.96
517,"Customer#000000517",FURNITURE,3959.71
518,"Customer#000000518",BUILDING,9871.66
519,"Customer#000000519",BUILDING,9074.45
520,"Customer#000000520",HOUSEHOLD,8315.09
521,"Customer#000000521",MACHINERY,5830.69
522,"Customer#000000522",BUILDING,6358.46
523,"Customer#000000523",BUILDING,-275.73
524,"Customer#000000524",HOUSEHOLD,5706.19
525,"Customer#000000525",AUTOMOBILE,3931.68
526,"Customer#000000526",HOUSEHOLD,705.93
527,"Customer#000000527",HOUSEHOLD,4429.81
528,"Customer#000000528",AUTOMOBILE,1802.5
529,"Customer#000000529",FURNITURE,9647.58
530,"Customer#000000530",BUILDING,4990.92
531,"Customer#000000531",HOUSEHOLD,5342.82
532,"Customer#000000532",MACHINERY,1725.68
533,"Customer#000000533",HOUSEHOLD,5432.77
534,"Customer#000000534",AUTOMOBILE,6520.97
535,"Customer#000000535",BUILDING,2912.8
536,"Customer#000000536",MACHINERY,3342.75
537,"Customer#000000537",FURNITURE,2614.79
538,"Customer#000000538",MACHINERY,-303.95
539,"Customer#000000539",HOUSEHOLD,4390.33
540,"Customer#000000540",MACHINERY,9195.77
541,"Customer#000000541",FURNITURE,1295.54
542,"Customer#000000542",BUILDING,3109.96
543,"Customer#000000543",AUTOMOBILE,6089.13
544,"Customer#000000544",AUTOMOBILE,4974.68
545,"Customer#000000545",AUTOMOBILE,7505.33
546,"Customer#000000546",MACHINERY,3116.5
547,"Customer#000000547",BUILDING,6058.08
548,"Customer#000000548",BUILDING,90.45
549,"Customer#000000549",BUILDING,91.53
550,"Customer#000000550",FURNITURE,7270.82
551,"Customer#000000551",MACHINERY,-334.89
552,"Customer#000000552",FURNITURE,1353.24
553,"Customer#000000553",BUILDING,4804.57
554,"Customer#000000554",HOUSEHOLD,8395.57
555,"Customer#000000555",BUILDING,5486.52
556,"Customer#000000556",MACHINERY,7944.22
557,"Customer#000000557",BUILDING,9559.04
558,"Customer#000000558",HOUSEHOLD,1912.23
559,"Customer#000000559",AUTOMOBILE,5872.94
560,"Customer#000000560",BUILDING,1469.59
561,"Customer#000000561",FURNITURE,2323.45
562,"Customer#000000562",BUILDING,9234.5
563,"Customer#000000563",FURNITURE,3231.71
564,"Customer#000000564",MACHINERY,6307.59
565,"Customer#000000565",FURNITURE,2688.88
566,"Customer#000000566",FURNITURE,1928.1
567,"Customer#000000567",BUILDING,8475.17
568,"Customer#000000568",BUILDING,1317.56
569,"Customer#000000569",MACHINERY,-795.23
570,"Customer#000000570",AUTOMOBILE,8480.87
571,"Customer#000000571",HOUSEHOLD,8993.23
572,"Customer#000000572",AUTOMOBILE,7252.65
573,"Customer#000000573",HOUSEHOLD,2333.96
574,"Customer#000000574",FURNITURE,9787.56
575,"Customer#000000575",BUILDING,3652.29
576,"Customer#000000576",HOUSEHOLD,2091.63
577,"Customer#000000577",FURNITURE,7059.15
578,"Customer#000000578",FURNITURE,6181.23
579,"Customer#000000579",MACHINERY,1924.96
580,"Customer#000000580",BUILDING,-181.63
581,"Customer#000000581",MACHINERY,3242.1
582,"Customer#000000582",MACHINERY,4879.55
583,"Customer#000000583",HOUSEHOLD,3686.07
584,"Customer#000000584",MACHINERY,8825.71
